city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
East Palo Alto,R-1,https://www.municode.com/library/ca/east_palo_alto/codes/code_of_ordinances?nodeId=EAST_PALO_ALTO_CALIFORNIA,permitted,Allowed.,permitted,Reasonable number of animals for non-commercial use.,permitted,"Raising of fruit and nut trees, vegetables and horticultural specialties, greenhouses less than 1,000 square feet."
East Palo Alto,R-2,https://www.municode.com/library/ca/east_palo_alto/codes/code_of_ordinances?nodeId=EAST_PALO_ALTO_CALIFORNIA,permitted,Allowed.,permitted,Reasonable number of animals for non-commercial use.,permitted,"Raising of fruit and nut trees, vegetables and horticultural specialties, greenhouses less than 1,000 square feet."
East Palo Alto,R-M,https://www.municode.com/library/ca/east_palo_alto/codes/code_of_ordinances?nodeId=EAST_PALO_ALTO_CALIFORNIA,permitted,Allowed.,permitted,Reasonable number of animals for non-commercial use.,permitted,"Raising of fruit and nut trees, vegetables and horticultural specialties, greenhouses less than 1,000 square feet."
East Palo Alto,OR,https://www.municode.com/library/ca/east_palo_alto/codes/code_of_ordinances?nodeId=EAST_PALO_ALTO_CALIFORNIA,unknown,No information.,unknown,No information.,unknown,No information.
