city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
San Bruno,R-1,http://qcode.us/codes/sanbruno/,unknown,No information.,permitted,"2 chickens, ducks, turkeys, pigeons, doves, and squabs.",unknown,No information.
San Bruno,R-2,http://qcode.us/codes/sanbruno/,unknown,No information.,permitted,"2 chickens, ducks, turkeys, pigeons, doves, and squabs.",unknown,No information.
San Bruno,R-3,http://qcode.us/codes/sanbruno/,unknown,No information.,permitted,"2 chickens, ducks, turkeys, pigeons, doves, and squabs.",unknown,No information.
San Bruno,R-4,http://qcode.us/codes/sanbruno/,unknown,No information.,permitted,"2 chickens, ducks, turkeys, pigeons, doves, and squabs.",unknown,No information.
