city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
burlingame,R-1,https://www.burlingame.org/index.aspx?page=152,permitted,One hive at least 200 feet from any dwelling house with a permit.,permitted,Chickens and rabbits allowed with restrictions.,unknown,No information.
burlingame,R-2,https://www.burlingame.org/index.aspx?page=152,permitted,One hive at least 200 feet from any dwelling house with a permit.,permitted,Chickens and rabbits allowed with restrictions.,unknown,No information.
burlingame,R-3,https://www.burlingame.org/index.aspx?page=152,permitted,One hive at least 200 feet from any dwelling house with a permit.,permitted,Chickens and rabbits allowed with restrictions.,unknown,No information.
burlingame,R-4,https://www.burlingame.org/index.aspx?page=152,permitted,One hive at least 200 feet from any dwelling house with a permit.,permitted,Chickens and rabbits allowed with restrictions.,unknown,No information.
