city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
Portola Valley,R-E,https://www.municode.com/library/ca/portola_valley/codes/code_of_ordinances,unknown,No information.,unknown,No information.,permitted,"Crop and tree farming and truck gardening, including sale of products grown exclusively on the premises with permit"
Portola Valley,R-1,https://www.municode.com/library/ca/portola_valley/codes/code_of_ordinances,unknown,No information.,unknown,No information.,unknown,No information.
Portola Valley,M-R,https://www.municode.com/library/ca/portola_valley/codes/code_of_ordinances,unknown,No information.,unknown,No information.,unknown,No information.
