city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
brisbane,R-1,http://brisbaneca.org/departments/building-and-planning/planning/zoning-district-handouts,unknown,No information.,permitted,Allowed with a permit.,unkown,No information.
brisbane,R-2,http://brisbaneca.org/departments/building-and-planning/planning/zoning-district-handouts,unknown,No information.,permitted,Allowed with a permit.,unkown,No information.
brisbane,R-3,http://brisbaneca.org/departments/building-and-planning/planning/zoning-district-handouts,unknown,No information.,permitted,Allowed with a permit.,unkown,No information.
brisbane,R-BA,http://brisbaneca.org/departments/building-and-planning/planning/zoning-district-handouts,unknown,No information.,permitted,Allowed with a permit.,unkown,No information.
