city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
San Mateo,R1,http://qcode.us/codes/sanmateo/,permitted,"Permit required for 1 hive. 2 hives if lot exceeds 10,000 square feet.",permitted,"Maximum of 10 fowl, no roosters over 4 months old with special permit.",,
San Mateo,R2,http://qcode.us/codes/sanmateo/,permitted,Permit required for 1 hive.,permitted,"Maximum of 10 fowl, no roosters over 4 months old with special permit.",,
San Mateo,R3,http://qcode.us/codes/sanmateo/,permitted,Permit required for 1 hive.,permitted,"Maximum of 10 fowl, no roosters over 4 months old with special permit.",,
San Mateo,R4,http://qcode.us/codes/sanmateo/,permitted,Permit required for 1 hive.,permitted,"Maximum of 10 fowl, no roosters over 4 months old with special permit.",,
San Mateo,R5,http://qcode.us/codes/sanmateo/,permitted,Permit required for 1 hive.,permitted,"Maximum of 10 fowl, no roosters over 4 months old with special permit.",,
