city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
Foster City,R1C,http://www.codepublishing.com/CA/FosterCity/,not permitted,Prohibited.,not permitted,Prohibited.,permitted,Subject to watering restrictions.
Foster City,R2,http://www.codepublishing.com/CA/FosterCity/,not permitted,Prohibited.,not permitted,Prohibited.,permitted,Subject to watering restrictions.
Foster City,R3,http://www.codepublishing.com/CA/FosterCity/,not permitted,Prohibited.,not permitted,Prohibited.,permitted,Subject to watering restrictions.
Foster City,R4,http://www.codepublishing.com/CA/FosterCity/,not permitted,Prohibited.,not permitted,Prohibited.,permitted,Subject to watering restrictions.
Foster City,R5,http://www.codepublishing.com/CA/FosterCity/,not permitted,Prohibited.,not permitted,Prohibited.,permitted,Subject to watering restrictions.
Foster City,RT/PD,http://www.codepublishing.com/CA/FosterCity/,not permitted,Prohibited.,not permitted,Prohibited.,permitted,Subject to watering restrictions.
