city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
San Carlos,RS-3,http://www.cityofsancarlos.org/zoning/zoning_ordinance.asp,unknown,No information.,permitted,"No more than 4 fowl, no roosters",permitted,Community gardens permitted. Garden areas dedicated to edible plants count as landscaping
San Carlos,RS-6,http://www.cityofsancarlos.org/zoning/zoning_ordinance.asp,unknown,No information.,permitted,"No more than 4 fowl, no roosters",permitted,Community gardens permitted. Garden areas dedicated to edible plants count as landscaping
San Carlos,RM-20,http://www.cityofsancarlos.org/zoning/zoning_ordinance.asp,unknown,No information.,permitted,"No more than 4 fowl, no roosters",permitted,Community gardens permitted. Garden areas dedicated to edible plants count as landscaping
San Carlos,RM-59,http://www.cityofsancarlos.org/zoning/zoning_ordinance.asp,unknown,No information.,permitted,"No more than 4 fowl, no roosters",permitted,Community gardens permitted. Garden areas dedicated to edible plants count as landscaping
