city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
daly city,MHP,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,permitted,Permanent landscaping required.
daly city,R-1,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,unknown,No information.
daly city,R-1/A,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,unknown,No information.
daly city,R-2,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,unknown,No information.
daly city,R-2/A,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,permitted,Permanent landscaping required.
daly city,R-3,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,unknown,No information.
daly city,BRM,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,unknown,No information.
daly city,R-4,https://www.municode.com/library/ca/daly_city/codes/code_of_ordinances?nodeId=TIT17ZO,unknown,No information.,permitted,No more than 2 animals of any kind. No roosters allowed,unknown,No information.
