city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
colma,R,http://www.colma.ca.gov/index.php/town-departments/planning/planning-forms/zoning-1,unknown,No information.,unknown,No information.,unknown,No information.
colma,R-S,http://www.colma.ca.gov/index.php/town-departments/planning/planning-forms/zoning-1,unknown,No information.,unknown,No information.,unknown,No information.
