city,zoning,zoning code URL,bees display,bees,chickens and other animals display,chickens and other animals ,gardens display,gardens 
Atherton,R-1A,http://www.codepublishing.com/CA/Atherton/,permitted,Permitted for properties on one acre or larger.,no information,No information.,no information,No information.
Atherton,R-1B,http://www.codepublishing.com/CA/Atherton/,permitted,Permitted for properties on one acre or larger.,no information,No information.,no information,No information.
