city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
Half Moon Bay,R1,http://www.codepublishing.com/CA/HalfMoonBay/,unknown,No information.,permitted,"2 chickens, ducks, geese, pea fowl, pigeons, turkeys and other fowl typically used for food or food products without permit. 3 or more require permit.",permitted,Allowed.
Half Moon Bay,R2,http://www.codepublishing.com/CA/HalfMoonBay/,unknown,No information.,permitted,"2 chickens, ducks, geese, pea fowl, pigeons, turkeys and other fowl typically used for food or food products without permit. 3 or more require permit.",permitted,Allowed.
Half Moon Bay,R3,http://www.codepublishing.com/CA/HalfMoonBay/,unknown,No information.,not permitted,Domestic fowl prohibited.,permitted,Allowed.
