city,zoning,zoning code URL,bees display,bees pop-up,chickens and other animals display,chickens or other animals popup,gardens display,gardens popup
South San Francisco,RL,http://qcode.us/codes/southsanfrancisco/,unknown,No information.,permitted,"Horses, jackasses, mules, burros, cows and cattle (2 max) with shelter location requirements.",permitted,Community garden with permit
South San Francisco,RM,http://qcode.us/codes/southsanfrancisco/,unknown,No information.,permitted,"Horses, jackasses, mules, burros, cows and cattle (2 max) with shelter location requirements.",permitted,Community garden with permit
South San Francisco,RH,http://qcode.us/codes/southsanfrancisco/,unknown,No information.,permitted,"Horses, jackasses, mules, burros, cows and cattle (2 max) with shelter location requirements.",permitted,Community garden with permit
South San Francisco,DRL,http://qcode.us/codes/southsanfrancisco/,unknown,No information.,permitted,"Horses, jackasses, mules, burros, cows and cattle (2 max) with shelter location requirements.",unknown,No information.
South San Francisco,DRM,http://qcode.us/codes/southsanfrancisco/,unknown,No information.,permitted,"Horses, jackasses, mules, burros, cows and cattle (2 max) with shelter location requirements.",unknown,No information.
South San Francisco,DRH,http://qcode.us/codes/southsanfrancisco/,unknown,No information.,permitted,"Horses, jackasses, mules, burros, cows and cattle (2 max) with shelter location requirements.",unknown,No information.
